Blog	travel	master	nature	crowd	grandma	article	west	scott	research	general	account	false	tape	riding	willing	artist	production	daniel	dogs	aunt	tony	shared	foot	inspired	bless	toward	grant	obviously	similar	links	university	key	tuesday	speaking	miles	seat	label	hardcore	extended	download	eggs	easter	yard	reached	success	dressed	excellent	football	cards	cheap	jazz	direction	focus	adventure	hill	king	solo	flight	meaning	include	chose	joe	jon	term	rare	blogs	kinda	spoke	machine	twitter	heading	legs	copy	babies	data	records	breath	laughed	act	ah	dawn	states	html	relationship	basically	sea	community	santa	results	jesus	clearly	email	appeared	official	families	minor	hall	em	en	et	ep	pray	classic	recorded	till	ben	kick	candy	daddy	skin	texas	vinyl	language	according	nose	students	titled	search	throughout	create	bill	y	per	island	honestly	bus	path	ma	ms	program	presentation	design	scared	usual	member	series	showed	doors	camp	planned	previous	sigh	se	um	un	uk	race	packed	bike	interest	japan	created	board	appear	january	album	cars	british	national	asleep	ya	jeff	based	gonna	whose	meal	featured	mini	regular	explain	sugar	website	kim	character	bass	keith	cheese	nearly	blessed	bible	members	para	recording	extremely	common	fans	purpose	gifts	actual	limited	request	hospital	london	report	trust	cook	unfortunately	heat	heather	thursday	v	mommy	problems	river	van	holy	release	result	east	creative	slightly	offer	sale	social	blues	continued	paul	literally	archive	reality	familiar	youtube	mentioned	career	bay	suppose	wanna	slept	mark	bags	doctor	bread	build	lines	unless	player	metal	characters	precious	wood	review	kill	fat	trouble	various	whom	edge	york	chicken	english	goodness	singer	dave	split	decision	originally	internet	formed	former	november	uploaded	festival	thanksgiving	web	provide	easily	musical	prayer	nor	thankful	ring	vocals	america	discovered	stars	tracks	horse	grey	popular	wave	michael	allowed	hits	lose	library	north	likely	fantastic	tells	ears	cousin	seven	journey	performance	among	consider	images	restaurant	despite	que	justin	colors	conference	posts	guitar	lisa	christian	weight	musicians	peace	museum	clip	thus	perhaps	press	incredible	japanese	kelly	fairly	possibly	unique	bloody	vacation	period	image	content	pics	author	grace	moon	challenge	led	les	shall	animal	allow	david	study	strength	dc	da	du	dr	background	blast	hell	indeed	entirely	okay	concert	media	speed	towards	famous	faith	sharing	halloween	hadn	ha	recommend	shit	digital	effort	pizza	paid	seconds	videos	material	stood	airport	delicious	paint	mama	le	lo	lp	studio	greatest	bands	na	mso	performed	brothers	included	worse	tea	mission	reasons	pt	san	steve	issues	cross	example	price	bright	screen	joined	gorgeous	gold	available	readers	format	lord	magic	score	highly	war	becoming	grateful	certainly	presented	lol	cookies	damn	positive	noise	perfectly	demo	peter	attempt	modern	folks	managed	file	film	chris	simply	mid	interview	jack	weren	tom	plenty	expected	grab	released	chinese	remix	session	sex	ear	piano	mike	student	debut	ate	falling	punk	pages	via	plane	bowl	europe	doubt	involved	haha	market	james	flowers	albums	performances	reach	plays	artists	force	grade	somewhat	lyrics	grown	milk	french	california	everyday	particular	gotten	youth	mountain	entry	google	favourite	dan	sadly	text	practice	blessings	j	paris	christ	difference	bathroom	hearts	wide	energy	suddenly	font	notes	closer	el	er
Zamina	2	4	9	0	9	9	2	1	7	10	1	0	3	1	2	7	0	1	4	5	0	0	2	2	0	1	1	0	7	4	5	3	3	8	1	1	0	0	0	0	6	5	8	0	2	5	3	0	2	6	6	0	9	0	4	0	0	2	4	3	1	0	0	4	2	9	8	0	4	0	1	2	5	3	0	1	3	3	2	1	0	0	0	3	4	12	2	1	0	5	0	9	0	0	2	8	7	1	1	1	0	4	1	1	1	0	6	1	0	0	0	1	3	0	1	51	0	0	2	10	1	4	5	1	1	7	1	0	1	7	1	0	4	4	0	6	11	3	3	0	1	2	1	0	0	0	1	2	1	10	0	0	2	0	5	2	3	2	1	5	7	0	8	0	2	1	4	4	1	6	17	5	1	4	8	0	2	1	0	1	5	0	2	2	0	2	5	6	7	3	1	0	0	4	2	1	4	1	0	5	23	2	5	0	1	2	0	3	0	12	7	2	1	4	3	0	7	8	0	5	3	0	2	6	1	1	0	3	2	6	1	6	3	4	7	8	2	7	0	7	0	0	4	4	1	2	3	3	4	3	0	7	0	1	0	0	3	0	0	5	0	1	1	0	1	3	14	0	2	0	4	0	1	6	0	1	3	2	3	0	2	3	2	1	15	0	0	0	2	2	4	4	1	8	5	3	4	1	0	0	0	7	2	1	22	0	0	0	10	0	3	2	1	0	3	1	6	9	2	4	1	2	3	7	2	1	0	5	1	6	1	5	0	0	5	0	2	9	1	0	2	0	4	4	1	8	3	1	13	13	3	3	6	6	1	0	3	3	2	3	4	2	0	0	3	3	1	2	3	0	2	15	0	1	0	0	2	2	2	0	0	1	0	3	2	10	0	5	0	1	1	11	1	3	0	5	2	2	16	6	1	1	0	1	4	3	1	1	2	0	0	0	0	19	8	3	2	4	0	0	2	5	1	5	0	6	0	2	1	0	0	6	4	0	6	2	0	3	0	3	1	7	48	0	24	1	7	3	2	9	1	0	1	7	2	11	1	2	1	12	0	0	3	6	3	0	22	7	2	2	6	5	1	22	3	1	1	2	2	0	0	0	0	1	30	0	7	2	0	4	7	0	1	9	3	1	19	0	1	0
MUNDO OCHENTAS	0	4	1	0	0	0	5	1	0	1	0	0	0	0	0	0	0	1	0	0	3	30	0	0	0	0	5	0	0	0	0	0	1	0	0	2	1	0	294	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	4	0	0	0	0	0	7	3	0	0	0	0	0	9	0	0	2	0	1	0	0	7	0	2	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	6	0	16	0	0	1	8	1	0	11	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	19	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	2	6	0	0	0	0	5	0	0	0	0	40	7	0	0	0	5	1	0	23	0	0	0	0	0	0	6	0	11	0	7	1	0	0	0	0	0	9	0	0	1	1	0	0	0	2	0	0	5	0	0	0	0	6	0	0	4	0	0	1	4	1	0	0	0	0	0	0	1	0	2	0	17	0	0	0	0	0	0	0	0	0	18	0	5	0	2	0	2	1	0	3	5	0	0	5	0	1	2	0	0	0	1	9	0	5	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	2	0	9	0	5	19	1	0	0	1	24	0	4	4	0	0	0	1	0	0	0	1	16	0	0	0	4	0	0	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	3	0	0	5	0	1	0	16	0	0	1	5	0	13	0	0	0	0	0	2	0	3	0	0	1	1	0	0	0	7	0	0	1	0	0	1	0	0	1	1	1	0	0	2	4	4	1	0	2	0	0	0	0	7	0	0	0	2	0	0	0	11	0	0	0	0	0	1	0	0	7	0	0	0	0	6	0	0	4	0	0	0	0	0	0	0	0	4	0	0	8	0	15	0	0	41	1	1	4	0	0	3	0	6	0	0	0	0	0	299	0	14	0	2	6	0	3	0	2	0	0	0	0	0	1	1	0	0	0	11	0	0	0	7	0	0	3	0	0	0	0	1	10	2	0	0	0	2	0	0	0	2	2	0	0	0	0	16	4	0	0	1	1	0	9	0	0	0	0	14	0
Blog They Were Making Me Write	1	0	0	6	0	9	1	0	9	8	3	1	0	1	0	9	1	0	1	0	2	1	7	1	0	0	2	14	3	7	1	1	1	1	0	3	0	0	1	5	1	0	1	1	1	2	7	1	1	8	0	3	0	0	2	1	0	1	2	3	0	1	1	1	1	3	0	3	0	1	2	8	4	0	0	1	3	1	5	9	0	0	0	2	5	9	1	0	1	2	11	0	2	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	4	1	0	0	1	3	0	2	0	4	2	6	4	2	3	1	1	4	0	7	0	0	1	2	1	8	0	12	2	0	0	0	3	8	1	9	2	4	3	0	1	5	0	5	2	8	0	5	6	5	8	3	0	0	1	0	5	2	0	0	3	6	2	9	0	10	1	0	3	8	1	0	1	0	4	1	4	1	3	0	4	0	1	2	3	6	0	1	2	1	0	3	0	0	2	1	2	0	4	4	1	2	14	3	3	6	0	4	4	3	1	5	2	6	4	7	0	49	0	1	7	4	2	1	2	11	18	2	0	6	2	0	3	5	2	10	4	5	1	0	1	1	3	2	0	0	2	2	5	0	3	1	0	0	0	1	1	4	2	1	7	1	3	2	3	2	3	4	1	1	8	0	1	4	2	2	7	1	10	0	3	0	0	1	1	1	0	3	9	1	6	0	0	0	0	7	0	0	10	1	1	1	1	1	8	64	6	0	1	0	5	16	3	25	0	3	8	7	0	6	0	3	1	5	0	29	6	5	9	0	0	0	0	0	0	2	0	9	17	17	0	1	7	1	2	4	1	2	0	18	5	2	0	0	4	0	3	5	1	2	4	0	0	1	0	0	0	0	1	0	0	1	0	1	1	6	7	9	0	9	0	1	3	6	3	2	1	8	7	1	0	1	6	5	1	0	1	1	4	8	1	1	17	2	0	0	8	3	5	4	0	1	5	3	0	2	1	5	2	11	2	7	0	9	0	7	3	1	1	0	0	1	2	6	2	0	1	1	0	4	0	7	2	0	1	0	10	6	0	5	0	3	3	0	2	1	3	4	1	10	1	1	1	1	0	2	9	0	0	0	0	7	3	0	13	13	0	0	1	0	1	4	1	1	1	0	12	0	2	2	0	6
David Polston Freelance LLC	0	1	0	1	0	0	0	4	1	0	0	0	0	1	2	5	4	2	1	2	0	1	0	0	1	0	0	0	0	1	4	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	4	1	1	0	1	0	0	1	1	1	1	0	1	2	0	2	2	0	2	1	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	3	0	0	0	2	0	3	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	3	0	0	0	0	2	1	0	0	0	0	1	0	1	0	4	0	3	0	0	1	1	0	0	0	1	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	4	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	3	0	1	0	3	0	1	0	1	3	1	2	0	2	0	2	1	0	3	0	1	1	1	1	0	0	0	1	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	1	1	14	2	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	1	8	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	3	4	0	2	0	0	1	0	1	2	0	0	0	0	1	0	0	1	0	1	0	0	1	3	0	0	0	0	3	0	0	0	9	1	2	0	1	5	0	1	4	0	3	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	4	2	0	1	0	1	1	0	0	0	1	0	0	0	1	0	3	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	1	0	0	0	1	2	4	4	1	3	0	0	0	0	0	0	0	0	2	0	1	0	1
Annie Hall	6	1	6	1	8	8	2	15	0	12	8	2	3	3	15	6	2	0	3	13	1	9	7	0	11	2	0	15	7	0	2	13	3	2	5	9	1	0	0	0	12	3	10	5	2	9	0	2	2	7	0	3	0	32	7	4	0	1	3	3	3	4	7	4	2	1	13	4	4	0	9	9	8	9	0	1	5	15	5	1	2	4	0	11	23	12	3	5	0	0	3	10	4	1	10	1	15	4	0	0	0	7	8	3	0	0	1	16	4	8	1	1	9	3	9	1	2	6	2	2	4	0	1	7	6	1	0	2	1	1	0	0	16	1	5	1	6	3	10	5	5	3	1	19	1	0	1	2	14	5	0	8	14	3	1	5	11	1	0	11	1	1	4	3	3	4	1	2	1	4	3	4	0	1	0	25	24	3	27	1	5	0	1	1	3	0	1	2	11	7	3	17	2	6	10	5	5	1	0	4	3	7	4	8	5	3	3	5	9	1	2	13	5	6	0	2	4	13	0	0	8	2	16	1	3	30	0	1	0	3	18	6	4	4	12	2	6	3	7	2	2	7	3	5	1	5	0	5	32	4	25	1	46	0	13	1	4	1	4	1	1	2	4	0	2	8	0	12	4	4	11	0	6	2	2	1	8	1	5	5	1	4	4	6	6	8	3	13	10	1	0	2	3	0	5	3	3	14	3	0	3	3	16	8	6	0	1	9	0	1	1	4	7	11	0	3	0	0	3	5	1	2	3	4	2	6	3	0	0	0	1	6	0	0	2	4	13	3	3	0	2	0	1	6	1	1	2	1	75	12	0	4	3	4	5	9	2	9	33	4	0	2	1	8	10	2	3	2	5	2	31	0	0	0	2	0	0	14	0	0	0	1	3	7	6	4	8	5	0	5	1	2	8	6	4	5	8	4	1	5	8	1	1	24	1	3	0	9	6	50	15	1	3	9	0	2	1	7	1	6	1	3	1	2	1	1	1	21	4	1	2	8	1	6	4	7	1	5	0	6	4	3	1	1	3	0	10	7	0	0	0	0	5	1	5	9	0	8	0	4	0	0	4	5	2	5	2	0	2	2	4	9	5	12	5	6	1	10	1	12	0	0	3	18	5	6	30	0	2	8	21	9	2	3	1	1	3	7	1	4
Waltz for Luma	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	12	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	1	3	1	0	6	0	0	1	0	3	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	4	1	1	0	3	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	1	6	0	0	8	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	1	1	0	0	7	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	2	0	1	1	0	0	2	0	0	0	0	7	2	2	4	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	2	0	4	20	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	4	0	0	1	3	0	0	0	1	0	0	1	0	2	11	1	0	0	0	0	0	0	2	7	0	0	1	0	0	0	0	0	2	1	2	5	0	1	0	0	0	3	2	0	0	0	1	0	0	2	0	1	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	2	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	3	1	0	0	0	1	0	1	0	0	4	2	0	0	1	0	1	0	3	0	2	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	2	5	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	72	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	5	0	1	2	1	2	0	0	0	1	1	3	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	5	0	1	0	0	9	2	0	0
Jumping at the Ground and Missing	3	24	10	8	8	9	1	3	5	12	4	4	6	4	8	3	2	7	7	1	0	1	23	9	2	6	2	14	8	8	1	6	22	27	2	1	9	0	1	5	16	1	13	9	9	4	10	3	5	9	0	9	2	11	3	9	0	3	10	14	11	11	1	4	0	12	34	1	13	0	2	22	19	18	1	1	13	9	6	12	2	8	0	1	11	9	1	5	5	2	16	18	4	1	2	2	2	12	4	4	0	0	5	5	0	0	28	12	5	10	0	0	8	5	9	5	1	5	7	1	4	14	14	5	12	10	3	2	0	16	4	2	1	19	1	11	14	1	2	7	5	19	3	6	0	1	4	9	2	8	0	2	11	5	0	9	6	3	3	2	4	7	5	12	14	3	1	10	7	7	16	2	1	13	1	0	13	30	2	3	1	0	5	16	3	0	4	7	14	2	4	2	4	4	4	4	4	9	0	16	6	5	1	2	17	21	3	7	1	10	25	3	32	2	0	6	3	6	0	4	5	19	16	1	1	18	2	1	3	25	8	19	6	13	23	7	4	4	0	9	40	13	13	12	22	17	6	0	28	16	12	4	0	4	6	7	7	0	0	0	2	3	4	6	0	5	12	3	7	3	18	0	4	17	2	1	8	6	4	6	8	9	5	7	96	4	19	13	6	11	4	1	1	0	13	4	2	6	1	0	0	0	1	11	7	0	0	1	2	4	7	6	13	36	5	9	4	0	0	21	1	8	5	5	1	2	88	9	1	7	8	4	3	17	5	4	2	5	0	0	7	0	11	4	12	25	10	4	2	3	3	7	2	3	1	2	0	21	25	9	18	8	2	3	12	14	1	6	3	1	11	15	15	5	1	0	0	6	2	0	0	0	0	4	8	21	6	9	1	0	3	2	9	3	10	12	3	7	25	4	15	7	3	12	5	3	18	6	6	8	12	3	55	23	8	5	15	4	3	17	13	7	11	14	2	62	0	12	1	8	2	7	14	23	9	5	1	8	0	0	6	3	12	1	6	0	17	11	0	17	1	6	16	0	14	14	3	3	21	22	5	0	6	2	0	13	7	15	13	7	14	14	2	1	4	29	1	3	3	7	55	12	14	8	9	3	11	1	4	5	8	1	4	1	9	2	8	9	0	12
The Fife's	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	5	1	0	1	2	0	0	0	1	0	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	1	1	2	3	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	5	0	2	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	3	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	3	3	1	1	0	0	0	1	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	14	1	5	0	0	0	0	0	0	0	0	1	0	1	6	1	2	0	0	0	1	2	0	1	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	1	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	0	2	0	1	0	0	0	0	0	0	3
NÃO TEMOS VERGONHA DE SERMOS TRANSGÉNEROS, TRANSEXUAIS, AMIG@S, COMPANHEIR@S OU SIMPATIZANTES!	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0
North by East West	0	0	0	11	0	6	18	8	0	1	1	24	0	0	2	22	1	1	4	0	2	1	2	3	0	1	5	1	0	2	6	0	9	0	0	0	6	4	3	30	0	0	1	0	4	1	3	0	4	5	12	1	3	1	2	7	7	1	0	6	1	4	5	0	3	1	3	1	7	5	5	0	7	0	0	28	0	1	7	0	1	2	0	0	0	1	4	0	2	1	1	5	1	3	0	0	12	5	7	6	41	0	1	12	1	5	4	0	0	0	1	8	1	2	0	1	12	1	0	2	5	2	1	4	0	1	3	0	1	0	0	1	0	2	4	12	0	10	1	1	4	0	0	0	1	2	0	4	1	0	3	5	2	1	18	85	1	9	7	0	0	4	22	0	2	1	3	3	1	0	0	9	1	1	5	1	1	1	0	1	14	0	20	1	1	7	0	0	1	5	0	0	11	2	1	1	0	4	8	27	2	0	0	2	18	13	82	3	26	1	0	2	2	24	11	2	3	1	0	2	4	9	1	1	5	0	0	0	8	2	0	0	1	3	1	3	4	0	0	4	65	5	2	2	5	3	2	9	0	2	0	16	7	1	0	7	2	3	3	14	1	34	0	0	1	1	13	0	0	0	1	9	1	2	2	7	2	1	4	0	4	1	4	2	12	14	1	4	0	4	1	2	0	25	4	1	2	2	6	0	5	0	1	2	13	1	1	0	20	1	1	2	0	1	6	2	0	0	1	1	4	0	0	0	0	3	1	0	3	2	1	3	2	0	2	1	7	0	0	0	0	1	0	0	0	10	1	0	0	32	8	0	0	0	0	1	2	0	0	2	1	2	4	0	1	0	8	1	0	0	0	0	0	1	0	9	13	3	36	0	19	6	4	2	0	2	0	2	14	1	7	0	12	2	0	1	1	6	3	1	12	2	1	0	3	0	4	5	0	1	1	1	0	0	5	2	5	2	2	4	2	4	5	0	0	13	2	1	1	19	1	1	1	1	1	0	46	0	0	3	0	2	8	5	1	26	1	2	8	0	9	0	0	5	0	0	0	1	4	2	14	9	0	2	20	2	2	2	5	1	0	3	2	0	4	0	0	8	1	5	4	24	0	0	1	0	3	1	0	0	1	15	0	8	0	27	1	1	4	0
All that jazz...	2	0	1	4	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	1	2	2	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	1	1	2	0	1	0	0	0	0	2	0	1	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	2	0	0	2	0	0	4	0	0	0	0	2	0	1	0	0	0	0	1	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	1	3	1	1	0	1	0	0	0	0	1	0	0	2	0	0	3	0	3	1	1	0	2	2	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	2	0	1	0	0	6	2	0	1	0	0	1	0	0	1	0	0	4	1	0	1	0	0	0	0	1	0	0	0	0	3	3	0	0	0	1	0	0	1	2	2	1	0	0	1	3	0	0	0	1	0	0	0	3	1	0	3	0	0	3	0	0	0	0	0	3	0	3	1	0	0	0	0	1	1	0	4	0	0	0	2	1	0	1	4	1	0	2	1	0	0	0	1	0	0	1	0	1	0	1	1	0	8	2	0	3	1	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	1	0	0	1	0	0	0	1	2	1	0	0	0	3	1	4	2	0	0	0	0	0	0	0	0	2	0	0	1	2	2	0	4	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	3	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	2	2	0	1	2	0	0	1	0	1	2	0	0	1	0	0	0	6	0	0	0	1	0	0	0	0	0	2	1	0	0	2	0	0	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	1	1	0	4	2	1	0	0	0	1	11	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	2	2	0	0
The Rants of a dude that lacks blog-naming 5K1||z	0	2	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	2	8	0	1	0	1	0	0	0	0	1	12	0	0	0	0	1	0	3	0	0	0	0	1	2	0	0	0	2	1	1	2	3	0	1	0	0	0	0	0	1	0	8	97	0	0	0	0	0	10	0	2	0	1	1	0	0	0	1	1	0	0	0	1	0	3	119	2	0	4	0	1	7	0	1	0	0	2	3	2	0	1	0	0	1	0	1	45	3	65	0	1	1	1	1	0	0	0	0	1	2	1	0	0	0	20	0	0	32	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	36	0	1	1	0	3	0	0	0	0	0	1	1	6	0	0	1	0	1	4	1	0	0	3	0	4	0	0	3	0	0	2	4	0	0	0	0	0	1	1	0	1	0	0	0	5	1	0	0	7	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	155	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	2	0	0	3	0	0	0	0	0	2	1	2	0	0	1	0	0	2	0	0	2	1	9	1	0	1	1	1	1	0	0	2	0	0	1	8	0	1	2	0	0	0	0	0	1	1	0	0	5	0	15	34	0	0	0	1	0	0	0	0	0	1	0	0	1	0	3	0	0	1	0	0	1	1	1	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	99	0
